Rural population (% of total),Rural population growth (annual %), Forest area % of land area,Permanent cropland % of land area,Land area(sq. km thousands),Arable land % of land area
,,,,,
75,2.1,2.1,0.3,652.9,11.8
40,-2.6,28.1,3,27.4,22.6
27,-0.1,0.8,0.4,"2,381.70",3.1
13,-0.1,87.5,9.5,0.2,15
12,0.7,34,NA,0.5,1.7
34,1.3,46.3,0.2,"1,246.70",3.9
75,1,22.3,2.3,0.4,9.1
8,-0.5,9.8,0.4,"2,736.70",14.3
37,0.1,11.7,2,28.5,15.7
57,0.2,2.3,NA,0.2,11.1
14,0.8,16.3,0,"7,692.00",6
42,0,46.9,0.8,82.5,16.3
44,0.1,14.1,2.9,82.7,24.2
17,0.4,51.4,0.4,10,0.8
11,4,0.8,3.9,0.8,2.1
63,-0.2,11,6.4,130.2,59.6
69,0.2,14.7,2.3,0.4,16.3
21,-2.3,42.6,0.5,203,28
2,-1.5,22.6,0.8,30.3,28.1
54,1.7,59.7,1.4,22.8,3.4
53,1.7,37.8,4.4,112.8,23.9
0,NA,18.5,NA,0.1,5.6
59,0,72.5,0.2,38.1,2.6
31,0.3,50.3,0.2,"1,083.30",4.1
52,-1.5,42.7,2,51.2,20
31,-0.2,18.9,0,566.7,0.5
13,-1.1,58.9,0.8,"8,358.10",9.7
22,-0.4,72.1,1.1,5.3,0.9
25,-2.1,35.4,1.3,108.6,32.2
71,2,19.3,0.4,273.6,21.9
87,2.8,10.9,13.6,25.7,46.7
34,-0.2,22.5,1,4,12.4
77,1,52.9,0.9,176.5,21.5
44,1.3,39.3,3.3,472.7,13.1
19,1.1,38.2,0.5,"9,093.50",4.8
0,NA,52.9,2.1,0.2,0.8
59,0.9,35.6,0.1,623,2.9
77,2.8,3.8,0,"1,259.20",3.9
69,1.1,4,NA,0.2,19.7
12,0.8,24.3,0.6,743.5,1.7
41,-2.4,22.4,1.7,"9,388.20",12.7
0,NA,NA,1,1.1,2.9
0,NA,NA,NA,0,NA
19,-0.2,52.7,1.7,"1,109.50",1.5
71,2,19.7,28.5,1.9,34.9
56,2.2,67.2,0.4,"2,267.10",3.1
33,1.2,65.4,0.2,341.5,1.6
21,-2.7,54.6,6.1,51.1,4.8
49,1.6,32.7,14.2,318,9.1
43,-1.5,34.4,1.3,56,15.6
23,-0.3,31.3,4.6,104,28.7
11,0,NA,NA,0.4,NA
33,0.9,18.7,2.8,9.2,9.2
