País,Continente,Superficie,Densidad (km²),% de Población Mundial,Tasa de Crecimiento,Poblacion 2022,Poblacion 2020,Poblacion 2015,Poblacion 2010,Poblacion 2000,Poblacion 1990,Poblacion 1980,Poblacion 1970
Afghanistan,Asia,652230,63.0587,0.52,1.0257,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971
Albania,Europe,28748,98.8702,0.04,0.9957,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731
Algeria,Africa,2381741,18.8531,0.56,1.0164,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915
American Samoa,Oceania,199,222.4774,0.0,0.9831,44273,46189,51368,54849,58230,47818,32886,27075
Andorra,Europe,468,170.5641,0.0,1.01,79824,77700,71746,71519,66097,53569,35611,19860
Angola,Africa,1246700,28.5466,0.45,1.0315,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700
Anguilla,North America,91,174.2527,0.0,1.0066,15857,15585,14525,13172,11047,8316,6560,6283
Antigua and Barbuda,North America,442,212.1335,0.0,1.0058,93763,92664,89941,85695,75055,63328,64888,64516
Argentina,South America,2780400,16.3683,0.57,1.0052,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803
Armenia,Asia,29743,93.4831,0.03,0.9962,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377
Aruba,North America,180,591.3611,0.0,0.9991,106445,106585,104257,100341,89101,65712,62267,59106
Australia,Oceania,7692024,3.4032,0.33,1.0099,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034
Austria,Europe,83871,106.5877,0.11,1.002,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301
Azerbaijan,Asia,86600,119.6082,0.13,1.0044,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317
Bahamas,North America,13943,29.4043,0.01,1.0051,409984,406471,392697,373272,325014,270679,223752,179129
Bahrain,Asia,765,1924.4876,0.02,1.0061,1472233,1477469,1362142,1213645,711442,517418,362595,222555
Bangladesh,Asia,147570,1160.035,2.15,1.0108,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860
Barbados,North America,430,654.9651,0.0,1.0015,281635,280693,278083,274711,264657,258868,253575,241397
Belarus,Europe,207600,45.9295,0.12,0.9955,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786
Belgium,Europe,30528,381.8111,0.15,1.0038,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376
Belize,North America,22966,17.6466,0.01,1.0131,405272,394921,359871,322106,240406,182589,145133,120905
Benin,Africa,112622,118.5635,0.17,1.0274,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443
Bermuda,North America,54,1188.5926,0.0,1.0,64184,64031,63144,63447,61371,57470,53565,52019
Bhutan,Asia,38394,20.3796,0.01,1.0064,782455,772506,743274,705516,587207,558442,415257,298894
Bolivia,South America,1098581,11.1272,0.15,1.012,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693
Bosnia and Herzegovina,Europe,51209,63.1437,0.04,0.9886,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561
Botswana,Africa,582000,4.5194,0.03,1.0162,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244
Brazil,South America,8515767,25.2841,2.7,1.0046,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875
British Virgin Islands,North America,151,207.3179,0.0,1.0059,31305,30910,29366,27556,20104,15617,11109,9581
Brunei,Asia,5765,77.8841,0.01,1.0081,449002,441725,421437,396053,333926,261928,187921,133343
Bulgaria,Europe,110879,61.1654,0.09,0.9849,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950
Burkina Faso,Africa,272967,83.0641,0.28,1.0259,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666
Burundi,Africa,27834,463.0874,0.16,1.027,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834
Cambodia,Asia,181035,92.6221,0.21,1.0108,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525
Cameroon,Africa,475442,58.7128,0.35,1.0263,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787
Canada,North America,9984670,3.8513,0.48,1.0078,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577
Cape Verde,Africa,4033,147.0739,0.01,1.0089,593149,582640,552166,521212,458251,364563,317234,287262
Cayman Islands,North America,264,260.25,0.0,1.0084,68706,67311,60911,54074,39658,26027,17100,10533
Central African Republic,Africa,622984,8.9555,0.07,1.0224,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356
Chad,Africa,1284000,13.8032,0.22,1.0316,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394
Chile,South America,756102,25.9274,0.25,1.0057,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481
China,Asia,9706961,146.8933,17.88,1.0,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450
Colombia,South America,1141748,45.4339,0.65,1.0069,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254
Comoros,Africa,1862,449.3953,0.01,1.0184,836774,806166,730216,656024,536758,431119,328328,242351
Cook Islands,Oceania,236,72.0805,0.0,1.0005,17011,17029,17695,17212,15897,17123,17651,20470
Costa Rica,North America,51100,101.3861,0.06,1.0052,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697
Croatia,Europe,56594,71.2153,0.05,0.9927,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638
Cuba,North America,109884,102.0366,0.14,0.9961,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636
Curacao,North America,444,430.5473,0.0,1.0043,191163,189288,169572,159380,141424,155446,156851,150385
Cyprus,Europe,9251,135.2814,0.02,1.0059,1251488,1237537,1187280,1129686,948237,788500,679327,640804
Czech Republic,Europe,78865,133.0627,0.13,0.9984,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744
Denmark,Europe,43094,136.4984,0.07,1.0048,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963
Djibouti,Africa,23200,48.3125,0.01,1.0138,1120849,1090156,1006259,919199,742033,577173,324121,144379
Dominica,North America,751,96.8535,0.0,1.0045,72737,71995,70007,68755,68346,69481,72978,68895
Dominican Republic,North America,48671,230.7087,0.14,1.01,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871
